Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
,12.9875,80.2639,2020,7.7,1960,0,293,476.0,30.0,2.0,370,128.0,12.0,261.0,10.0,0.3,1176.0,1
,12.9828,80.2636,2020,7.9,2010,0,128,589.0,23.0,7.0,280,68.0,27.0,297.0,20.0,0.0,1206.0,1
,12.9786,80.2656,2020,7.4,12130,0,171,4075.0,132.0,9.0,2080,376.0,277.0,1774.0,89.0,0.5,7278.0,2
,12.9572,80.2606,2020,7.7,2150,0,275,476.0,101.0,53.0,460,140.0,27.0,250.0,18.0,0.4,1290.0,2
,12.9542,80.2606,2020,7.7,2370,0,445,426.0,104.0,161.0,530,172.0,24.0,279.0,39.0,0.3,1422.0,2
,12.9539,80.2553,2020,7.7,2450,0,482,419.0,107.0,145.0,630,148.0,63.0,260.0,39.0,0.8,1470.0,2
,12.9433,80.2544,2020,7.8,1716,0,201,376.0,108.0,77.0,360,88.0,34.0,199.0,43.0,0.1,1029.6,2
,12.9272,80.2544,2020,7.9,464,0,140,64.0,20.0,6.0,150,44.0,10.0,31.0,8.0,0.5,278.4,0
,12.9875,80.2636,2020,7.7,508,0,146,75.0,15.0,8.0,145,42.0,10.0,37.0,8.0,0.3,304.8,0
,12.9197,80.2636,2020,7.6,1545,0,354,227.0,54.0,129.0,410,116.0,29.0,143.0,30.0,0.3,927.0,2
,12.9643,80.2621,2020,7.6,1672,0,317,277.0,108.0,99.0,460,108.0,46.0,151.0,23.0,0.4,1003.2,2
