Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS
9.0919,77.4447,2021,7.5,2280,0,317,404,191,111,630,88,100,179,2,0.68,4.18,1368
13.0778,80.0259,2021,7.55,449,0,110,92,14,3,150,44,10,32,3,0.69,0.17,269.4
13.1104,80.1211,2021,7.21,1956,0,635,284,20,55,600,100,85,139,42,0.7,7.91,1173.6
13.3288,80.0766,2021,7.31,1170,0,433,142,27,8,210,28,34,161,3,0.83,9.92,702
13.2608,80.2861,2021,7.24,3450,0,348,859,198,3,900,216,88,361,14,0.46,3.6,2070
13.2276,80.3255,2021,7.6,1354,0,67,426,9,1,120,36,7,245,7,0.11,0.5,812.4
13.4156,80.13,2021,7.62,1409,0,238,199,182,39,440,56,73,96,34,0.71,1.64,845.4
13.1449,80.1042,2021,7.36,894,0,122,195,22,45,230,64,17,84,9,0.44,0.21,536.4
13.0957,79.9916,2021,7.16,3020,0,336,696,204,11,1000,248,92,224,8,1.31,0.7,1812
13.2705,80.2631,2021,7.23,3120,0,262,880,51,5,960,248,83,270,1,0.57,1.12,1872
13.2714,80.278,2021,7.4,3760,0,397,973,121,6,1100,248,117,357,10,0.26,1.16,2256
13.3169,79.9625,2021,7.21,1039,0,342,124,24,51,210,40,27,120,34,0.75,6.11,623.4
13.1197,80.0704,2021,7.63,1701,0,238,241,305,28,410,72,56,197,10,1.1,3.31,1020.6
13.3225,80.1837,2021,7.59,810,0,262,135,12,11,240,52,27,80,1,0.88,2.84,486
13.2311,80.1691,2021,7.12,1338,0,476,178,24,4,225,28,38,200,1,1.21,8.37,802.8
13.0588,80.0524,2021,7.45,972,0,329,142,14,6,280,52,36,96,4,1.14,0.43,583.2
13.1313,79.7794,2021,7.67,1371,0,445,178,39,75,370,88,36,154,4,0.96,3.86,822.6
13.1357,79.909,2021,7.31,2410,0,488,476,103,2,630,100,92,260,2,1.2,5.2,1446
13.067,80.1366,2021,7.1,1741,0,415,263,127,21,480,132,36,163,7,0.79,2.82,1044.6
8.7344,77.9194,2021,7.5,1387,0,232,184,80,137,450,100,49,60,11,0.66,1.17,832.2
9.2178,77.9833,2021,7.3,4350,0,244,581,670,114,1060,248,107,315,172,1.1,15.7,2610
11.9,79.05,2021,7,340,0,98,21,11,28,100,20,12,15,2,0.37,1.2,204
9.1444,77.7056,2021,7.6,773,0,195,78,30,42,190,52,15,78,1,0.44,1.06,463.8
9.1486,77.7167,2021,7.8,1158,0,439,99,118,32,340,72,39,112,30,0.28,3.5,694.8
9.15,78.1667,2021,7.8,1828,0,537,213,131,25,270,36,44,310,8,1.55,3.96,1096.8
8.9444,77.775,2021,7.3,1550,0,366,227,131,28,405,36,77,140,12,1.16,1.4,930
8.9306,78.0917,2021,7.1,8440,0,921,1468,531,116,2180,604,163,752,17,1.19,125,5064
8.8333,77.8958,2021,7,835,0,342,43,35,15,230,48,27,56,57,0.4,0.78,501
9.2333,78.1306,2021,7.5,1181,0,238,170,59,50,240,80,10,124,26,0.7,1.98,708.6
8.65,77.95,2021,7.5,3820,0,268,837,113,117,1190,192,173,163,52,0.54,12.2,2292
9.3128,78.1361,2021,8.2,2720,0,1025,85,188,136,100,16,15,534,13,1.74,31,1632
8.4958,77.8333,2021,7.5,800,0,244,64,39,26,255,64,23,32,12,0.3,2.48,480
8.6083,77.85,2021,7.4,2350,0,232,418,113,143,750,168,80,91,16,0.4,11.58,1410
8.4958,78.1208,2021,7.8,1435,0,354,241,12,23,320,68,36,155,21,0.23,1.92,861
9.325,78.0792,2021,7.8,1600,0,336,184,64,93,640,148,66,30,17,0.4,7.1,960
9.0583,77.85,2021,7.4,7520,0,329,794,2160,52,3105,376,526,420,38,1.52,9,4512
12.6244,78.7528,2021,8.29,2340,0,385,290,10,53,530,72,85,72,21,0.8,2.15,1404
12.7542,78.6975,2021,8.03,2070,0,278,510,45,46,485,92,62,241,32,1.42,3.94,1242
12.9433,79.2869,2021,7.87,3255,0,439,696,56,16,680,168,63,350,2,0.65,19.6,1953
12.635,78.6039,2021,8.48,1192,30,370,285,40,9,630,92,97,29,19,0.51,1.49,715.2
12.7653,78.8386,2021,8.44,1187,24,305,216,24,19,400,120,24,83,8,0.15,5.75,712.2
12.9094,79.3617,2021,7.93,1865,0,323,362,96,45,660,78,113,115,5,0.82,7,1119
12.5458,78.5761,2021,8.51,2340,18,360,290,10,53,530,72,85,72,21,0.8,3.67,1404
12.9597,79.1125,2021,8.11,2448,0,360,280,557,40,350,40,61,428,8,0.4,3.6,1468.8
12.4797,78.4514,2021,7.3,3170,0,366,560,288,82,730,124,102,368,1,1.53,11.1,1902
12.9897,79.6178,2021,7.29,3060,0,303,710,108,42,790,192,75,233,5,1.56,6,1836
12.8747,78.7597,2021,8.37,776,30,293,71,44,20,250,40,36,51,23,0.66,11.19,465.6
12.975,79.1208,2021,8.15,1352,0,427,220,7,19,500,34,101,78,8,0.22,12.6,811.2
12.5775,78.8119,2021,8.47,1123,30,366,145,34,6,135,32,13,189,10,1.12,1.65,673.8
12.8525,79.1097,2021,7.4,4480,0,561,737,435,68,930,84,175,548,1,1.41,16,2688
12.7725,78.8789,2021,8.21,1715,0,622,225,43,19,415,64,62,184,5,0.82,3.98,1029
12.9014,78.9456,2021,8.41,934,24,232,154,28,30,310,72,32,71,12,0.62,2.25,560.4
12.9042,78.9417,2021,8.25,1612,0,586,263,43,23,490,88,66,170,3,0.33,6.8,967.2
12.9431,78.7233,2021,8.19,2880,0,495,517,96,42,630,92,97,294,17,1.74,5.46,1728
12.3792,78.8472,2021,7.99,3210,0,403,657,250,105,1210,188,180,186,5,1.78,31,1926
12.7189,78.6619,2021,8.01,5650,0,488,1602,130,74,1300,128,238,718,7,0.41,16,3390
12.9578,78.9103,2021,8.18,914,0,210,192,18,55,255,80,13,85,16,0.7,21.3,548.4
12.8622,78.8347,2021,8.45,740,18,158,149,12,24,230,52,24,62,4,1.01,0.59,444
12.9569,78.9956,2021,7.86,2825,0,495,517,96,42,630,92,97,294,17,0.53,16,1695
