State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
Tamilnadu,Sivaganga,9.95,78.6667,2019,7.76,731,0,104,142,27,33,235,78,9.7,61,4.9,0.26,438.6
Tamilnadu,Sivaganga,9.8417,78.6222,2019,7.27,1176,0,159,248,11,37,470,136,32,53,5.6,0.85,705.6
Tamilnadu,Sivaganga,9.8569,78.4833,2019,7.5,2270,0,281,498,9.8,72,680,132,85,189,3.2,0.26,1362
Tamilnadu,Sivaganga,9.8514,78.375,2019,7.94,2130,0,671,412,45,3.8,330,32,61,372,5.7,0.69,1278
Tamilnadu,Sivaganga,10.1042,78.8444,2019,7.83,826,0,311,114,1.8,10,325,86,27,51,22,0.53,495.6
Tamilnadu,Sivaganga,9.9542,78.4861,2019,7.6,1938,0,98,490,126,18,410,132,20,206,24,0.34,1162.8
Tamilnadu,Sivaganga,10.1083,78.6,2019,7.59,1205,0,220,256,22,32,480,108,51,54,4.8,0.26,723
Tamilnadu,Sivaganga,10.1583,78.575,2019,8.14,3380,0,793,555,78,8,280,24,54,530,3,0.83,2028
Tamilnadu,Kancheepuram,12.97,80.15,2019,7.2,1668,0,353.858,262.7,91.5,112.8,570,68,97.296,129.2,0.90691,0.8,1000.8
Tamilnadu,Kancheepuram,12.95,80.14,2019,7.6,2520,0,805.332,369.2,22,20.3,720,128,97.296,218.9,3.62762,0.8,1512
Tamilnadu,Kancheepuram,12.94,80.14,2019,7.2,432,0,146.424,63.9,15.5,24,180,44,17.0268,20.1,0.90691,0.2,259.2
Tamilnadu,Kancheepuram,12.92,80.11,2019,7.5,3270,0,732.12,582.2,121.5,33.6,660,64,121.62,413,6.75141,1.3,1962
Tamilnadu,Kancheepuram,12.93,80.04,2019,7.7,2690,0,817.534,312.4,103,144.2,360,68,46.2156,364.2,155.685,1.4,1614
Tamilnadu,Kancheepuram,12.89,80.07,2019,7.3,1933,0,561.292,305.3,48.5,46.6,580,104,77.8368,175.8,7.15448,0.1,1159.8
Tamilnadu,Kancheepuram,12.91,80.01,2019,7.5,1790,0,451.474,312.4,38.5,94.7,700,112,102.161,92.4,2.21688,0.1,1074
Tamilnadu,Kancheepuram,12.87,80.11,2019,7.3,2200,0,451.474,326.6,133.5,129.8,620,100,89.9988,201.4,1.30997,0.3,1320
Tamilnadu,Kancheepuram,12.86,80.17,2019,7.5,1236,0,329.454,205.9,54.5,14.1,300,64,34.0536,146.7,1.30997,0.2,741.6
Tamilnadu,Kancheepuram,12.9,80.17,2019,7.5,1439,0,402.666,241.4,33.5,22.6,460,80,63.2424,127.3,1.30997,0.8,863.4
Tamilnadu,Kancheepuram,12.96,80.18,2019,7.3,1715,0,378.262,262.7,147.4,40,370,64,51.0804,230.7,3.72839,0.1,1029
Tamilnadu,Chennai,13.02,80.23,2019,7.6,1150,0,256.242,269.8,16.5,3.5,290,32,51.0804,142,7.65831,0.1,690
Tamilnadu,Kancheepuram,12.9,80.25,2019,7.3,892,0,219.636,81.65,117,50,300,56,38.9184,76.9,9.27059,0.2,535.2
