State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
Tamilnadu,Pudukottai,10.2458,78.75,2019,7.67,1310,0,439.0,163.0,23.0,21.0,410,66.0,59.0,71.0,6.4,0.38,786.0,1
Tamilnadu,Pudukottai,10.3333,78.8625,2019,7.22,608,0,183.0,78.0,32.0,0.0,155,38.0,15.0,53.0,2.0,0.28,364.8,0
Tamilnadu,Pudukottai,10.3469,78.6172,2019,7.51,850,0,439.0,57.0,8.2,30.0,315,42.0,51.0,50.0,3.6,1.41,510.0,1
Tamilnadu,Pudukottai,10.2978,78.7031,2019,7.56,318,0,189.0,11.0,2.4,0.0,140,24.0,20.0,5.3,1.9,0.09,190.8,0
Tamilnadu,Pudukottai,10.6028,78.5667,2019,7.02,1920,0,378.0,355.0,71.0,58.0,525,62.0,90.0,177.0,6.1,1.0,1152.0,1
Tamilnadu,Pudukottai,10.6083,78.55,2019,7.54,2520,0,549.0,511.0,43.0,1.1,430,40.0,80.0,318.0,9.5,4.55,1512.0,2
Tamilnadu,Ramanathapuram,9.4583,78.6083,2019,7.57,18450,0,634.0,5992.0,550.0,61.0,2240,160.0,447.0,3505.0,5.5,1.2,11070.0,2
Tamilnadu,Ramanathapuram,9.2333,78.7833,2019,7.68,6840,0,830.0,1576.0,314.0,132.0,710,56.0,139.0,1281.0,37.0,2.2,4104.0,2
Tamilnadu,Ramanathapuram,9.2833,79.1667,2019,7.45,1397,0,378.0,181.0,68.0,54.0,370,68.0,49.0,126.0,38.0,0.0,838.2,1
Tamilnadu,Ramanathapuram,9.2008,79.3794,2019,7.28,3760,0,232.0,724.0,515.0,127.0,810,320.0,2.4,444.0,64.0,0.82,2256.0,2
Tamilnadu,Ramanathapuram,9.5417,78.5375,2019,7.61,1491,0,537.0,181.0,57.0,50.0,75,14.0,9.7,308.0,4.9,0.92,894.6,1
Tamilnadu,Ramanathapuram,9.35,78.35,2019,7.57,7160,0,610.0,1619.0,935.0,32.0,1500,56.0,331.0,1039.0,4.2,0.68,4296.0,2
Tamilnadu,Ramanathapuram,9.3333,78.9528,2019,7.72,4160,0,500.0,925.0,118.0,27.0,990,200.0,119.0,543.0,43.0,0.53,2496.0,2
Tamilnadu,Ramanathapuram,9.6389,78.85,2019,7.77,2280,0,342.0,469.0,60.0,1.2,650,164.0,58.0,256.0,18.0,0.43,1368.0,2
Tamilnadu,Ramanathapuram,9.2833,79.275,2019,7.57,2900,0,561.0,512.0,162.0,86.0,790,144.0,105.0,352.0,83.0,0.63,1740.0,2
Tamilnadu,Ramanathapuram,9.175,78.45,2019,7.56,5350,0,378.0,1166.0,283.0,370.0,1180,200.0,165.0,691.0,24.0,0.56,3210.0,2
Tamilnadu,Ramanathapuram,9.2417,78.5125,2019,7.93,2970,0,634.0,512.0,200.0,6.2,450,104.0,46.0,549.0,8.5,0.64,1782.0,1
Tamilnadu,Ramanathapuram,9.5917,78.8667,2019,7.69,3590,0,220.0,953.0,80.0,4.1,1060,284.0,85.0,326.0,143.0,0.33,2154.0,2
Tamilnadu,Ramanathapuram,9.2842,79.0139,2019,7.57,890,0,281.0,82.0,34.0,78.0,355,98.0,27.0,60.0,23.0,0.2,534.0,1
Tamilnadu,Ramanathapuram,9.7667,79.0167,2019,7.84,8370,0,476.0,2091.0,491.0,10.0,1060,216.0,126.0,1315.0,18.0,0.64,5022.0,2
Tamilnadu,Ramanathapuram,9.2611,78.7653,2019,8.34,1667,0,866.0,99.0,76.0,1.5,130,36.0,9.7,370.0,6.9,1.38,1000.2,1
Tamilnadu,Ramanathapuram,9.3083,78.7444,2019,7.84,11660,0,464.0,3449.0,504.0,2.0,1820,320.0,248.0,1640.0,283.0,0.61,6996.0,2
Tamilnadu,Ramanathapuram,9.3056,79.0167,2019,7.92,804,0,354.0,75.0,33.0,1.8,420,144.0,15.0,28.0,25.0,0.19,482.4,1
Tamilnadu,Ramanathapuram,9.4417,78.5611,2019,7.67,6240,0,329.0,1636.0,415.0,28.0,1420,216.0,214.0,848.0,3.2,1.18,3744.0,2
Tamilnadu,Sivaganga,9.95,78.6667,2019,7.76,731,0,104.0,142.0,27.0,33.0,235,78.0,9.7,61.0,4.9,0.26,438.6,1
Tamilnadu,Sivaganga,9.8417,78.6222,2019,7.27,1176,0,159.0,248.0,11.0,37.0,470,136.0,32.0,53.0,5.6,0.85,705.6,1
